"gauge_RM","gauge","RM","MFR2","distance"
"08313000_100","08313000","100",0.0374733865531434,211202.253021852
"08313000_101","08313000","101",0.0416676121444047,209960.301973641
"08313000_102","08313000","102",0.129564447962616,209136.468928182
"08313000_103","08313000","103",0.149588038330656,208016.827631084
"08313000_104","08313000","104",0.18201874102732,206837.938117901
"08313000_105","08313000","105",0.252497727389547,205409.24450571
"08313000_135","08313000","135",0.068636055500821,166798.860768438
"08313000_136","08313000","136",0.094113254439299,165222.000325028
"08313000_137","08313000","137",0.0977990002082123,163659.261759483
"08313000_138","08313000","138",0.109405172352128,162276.755449823
"08313000_158","08313000","158",0.00914577078963197,135188.797304742
"08313000_162","08313000","162",0.138023367380691,129125.520819943
"08313000_163","08313000","163",0.125740334816669,127779.287488246
"08313000_164","08313000","164",0.114368963126677,126300.241791245
"08313000_165","08313000","165",0.171964689959136,124999.61457853
"08313000_63","08313000","63",6.57853515524387e-05,264399.483843475
"08313000_64","08313000","64",6.57853515522167e-05,262854.449639602
"08313000_65","08313000","65",1.99353037773076e-05,261381.384100034
"08313000_66","08313000","66",0.000388958743471002,259766.185815848
"08313000_67","08313000","67",0.000388958743470003,258687.918472842
"08313000_68","08313000","68",0.000877580895388252,257190.310081775
"08313000_69","08313000","69",0.000341195648409176,255756.611995706
"08313000_70","08313000","70",0.00115852130687133,255429.00424512
"08313000_71","08313000","71",0.00115852130687255,254496.788854896
"08313000_96","08313000","96",0.0895544240754349,216033.243711031
"08313000_97","08313000","97",0.110722313816985,214775.08522728
"08313000_98","08313000","98",0.0965720543173179,213611.080897136
"08313000_99","08313000","99",0.0925538140937432,212639.176258981
"08317400_100","08317400","100",0.0297565411539198,179041.583935176
"08317400_101","08317400","101",0.0355888183117705,177790.901092228
"08317400_102","08317400","102",0.113286131739555,176929.08150862
"08317400_103","08317400","103",0.130475043632537,175779.229502532
"08317400_133","08317400","133",0.0424923829487943,137071.592433633
"08317400_134","08317400","134",0.0410420364652255,135650.010332053
"08317400_135","08317400","135",0.0636574190388068,134331.535112785
"08317400_136","08317400","136",0.0843294268216791,132755.369871934
"08317400_137","08317400","137",0.0881286143851855,131191.155317136
"08317400_138","08317400","138",0.0986206497164627,129781.671694494
"08317400_151","08317400","151",0.0557835728091006,112176.674427972
"08317400_158","08317400","158",0.0148941784517939,102520.891379515
"08317400_161","08317400","161",0.145708823464241,98001.2029118486
"08317400_162","08317400","162",0.120317446466219,96450.3620153973
"08317400_163","08317400","163",0.104290925838425,95074.0060894754
"08317400_164","08317400","164",0.0959239596934577,93574.3674426834
"08317400_165","08317400","165",0.167463771367066,92242.8696564089
"08317400_63","08317400","63",5.71550845317459e-05,232300.174264504
"08317400_64","08317400","64",5.71550845309687e-05,230775.044618338
"08317400_65","08317400","65",2.53480434156961e-05,229321.107872857
"08317400_66","08317400","66",0.000412455860545613,227705.797509512
"08317400_67","08317400","67",0.000412455860546057,226590.937777628
"08317400_68","08317400","68",0.000913708084179676,225075.106369082
"08317400_69","08317400","69",0.00037437419281372,223671.969388322
"08317400_70","08317400","70",0.00122331784365604,223400.913460245
"08317400_71","08317400","71",0.00122331784365537,222519.707024288
"08317400_82","08317400","82",0.0125564014883823,204004.406628965
"08317400_83","08317400","83",0.0134411510715051,202278.655176612
"08317400_84","08317400","84",0.0154311127396354,200572.375878118
"08317400_85","08317400","85",0.0170955714336979,198771.712341801
"08317400_86","08317400","86",0.0195623485547454,197082.210323431
"08317400_87","08317400","87",0.0213114007356572,195362.850750584
"08317400_88","08317400","88",0.0206631895209282,193895.867374
"08317400_90","08317400","90",0.0236932899119143,191202.32951336
"08317400_93","08317400","93",0.038973253849185,187612.901360994
"08317400_94","08317400","94",0.0445576622575425,186658.258828802
"08317400_95","08317400","95",0.0650292435330914,185248.952068535
"08317400_96","08317400","96",0.0744740379119215,183949.961593202
"08317400_97","08317400","97",0.0931731462542741,182674.066679164
"08317400_98","08317400","98",0.0821167761633228,181486.486644896
"08317400_99","08317400","99",0.0780294964947249,180477.847427001
"08319000_100","08319000","100",0.000481167661269044,157634.02476596
"08319000_101","08319000","101",-0.00208126955280097,156377.456818542
"08319000_102","08319000","102",0.117992471705976,155485.546118759
"08319000_103","08319000","103",0.136485925397098,154312.178240072
"08319000_104","08319000","104",0.167648281534517,153081.450377486
"08319000_135","08319000","135",0.0904129168772208,112712.752715824
"08319000_136","08319000","136",0.104022659939563,111138.954779422
"08319000_137","08319000","137",0.108581481173776,109575.23465222
"08319000_138","08319000","138",0.121510682068762,108143.548700769
"08319000_158","08319000","158",0.0101332915300502,80755.8217804778
"08319000_161","08319000","161",0.130638436870969,76227.154014014
"08319000_165","08319000","165",0.39668221047989,70403.1929601475
"08319000_63","08319000","63",0.000113047759533136,210900.605364679
"08319000_64","08319000","64",0.000113047759534246,209391.582984594
"08319000_65","08319000","65",3.39705580987282e-06,207953.189356707
"08319000_66","08319000","66",0.000291571399795409,206338.828459081
"08319000_67","08319000","67",0.000291571399794521,205196.610259263
"08319000_68","08319000","68",0.000724182108629901,203667.744825537
"08319000_69","08319000","69",0.000278123222987259,202288.981472775
"08319000_70","08319000","70",0.00104042371311863,202061.696274437
"08319000_71","08319000","71",0.00104042371312041,201220.565570036
"08319000_92","08319000","92",0.0308256956022793,167582.048164499
"08319000_93","08319000","93",0.0367907521373473,166295.744596692
"08319000_96","08319000","96",0.0828760376820424,162600.321126124
"08319000_97","08319000","97",0.10090310417626,161311.341162704
"08319000_98","08319000","98",0.088720508773271,160105.82509338
"08319000_99","08319000","99",0.0378218771391345,159068.369149984
"08329918_100","08329918","100",0.0409461173326451,126881.590678083
"08329918_101","08329918","101",0.0398760079499338,125614.112216641
"08329918_102","08329918","102",0.158358510159634,124637.845194087
"08329918_104","08329918","104",0.214806236842703,122107.062710784
"08329918_133","08329918","133",0.0403519960422739,84433.6218255454
"08329918_134","08329918","134",0.0390084075162287,82988.0648529012
"08329918_135","08329918","135",0.180154923250442,81572.101630627
"08329918_136","08329918","136",0.12080264266602,80020.8954005057
"08329918_137","08329918","137",0.13067641664846,78473.4420049755
"08329918_138","08329918","138",0.161741687728008,76972.5915691324
"08329918_151","08329918","151",0.0705376930927279,59348.96067317
"08329918_152","08329918","152",0.0120082811648681,57847.9171714663
"08329918_153","08329918","153",0.00150481372387345,56477.9871260861
"08329918_154","08329918","154",0.00230141216772595,55052.4718373193
"08329918_155","08329918","155",0.00110542652480206,53662.3590174679
"08329918_157","08329918","157",0.00227701611606468,50838.7277253511
"08329918_158","08329918","158",0.00151550409624912,49380.9722946847
"08329918_159","08329918","159",0.0169149367886255,47873.6135322706
"08329918_162","08329918","162",0.10507164480167,43427.5243409654
"08329918_163","08329918","163",0.0869419445393577,41902.0906520693
"08329918_164","08329918","164",0.0750768297379378,40311.207240422
"08329918_165","08329918","165",0.150987456710597,38807.0965781604
"08329918_60","08329918","60",0.132752930353276,183202.258810051
"08329918_61","08329918","61",0.438915187003457,182301.124312258
"08329918_62","08329918","62",0.309976792618095,181191.054379424
"08329918_63","08329918","63",0.0145462466717375,179981.587840976
"08329918_64","08329918","64",0.0145462466717363,178519.54437148
"08329918_65","08329918","65",0.0211500377190676,177126.472994204
"08329918_66","08329918","66",0.0279904597030274,175519.048317708
"08329918_67","08329918","67",0.0279904597030282,174306.533739325
"08329918_68","08329918","68",0.0346001759576307,172746.575276809
"08329918_69","08329918","69",0.01293340892898,171437.506639249
"08329918_70","08329918","70",0.020792151966099,171328.274714901
"08329918_71","08329918","71",0.0207921519660994,170596.198701098
"08329918_74","08329918","74",0.00213839039583708,165721.610534456
"08329918_75","08329918","75",0.00251641159407556,163952.015616622
"08329918_76","08329918","76",0.000614298907203326,162433.656276026
"08329918_77","08329918","77",0.000614663191998766,160689.303651743
"08329918_78","08329918","78",0.000750274361719261,159244.565524891
"08329918_79","08329918","79",0.000739171629514757,157717.392683376
"08329918_80","08329918","80",0.00128494950502389,156038.368509481
"08329918_81","08329918","81",0.00224773719160554,154485.077221021
"08329918_82","08329918","82",0.00393764195187363,152655.202233277
"08329918_83","08329918","83",0.00545900066504335,150946.490241268
"08329918_84","08329918","84",0.00900434235132774,149168.627228732
"08329918_85","08329918","85",0.00806545284944471,147356.185376702
"08329918_86","08329918","86",0.00967515581601486,145587.02930452
"08329918_87","08329918","87",0.0128240067305416,143808.088537199
"08329918_92","08329918","92",0.0288594918541624,137085.873794483
"08329918_93","08329918","93",0.0281959676262431,135759.269513554
