"RMNum","longitude","latitude","north","08313000","08313150","08317400","08319000","08329918","08329928","08330000","08330830","08330875","08331160","08331510","08332010","08354900"
167,-106.7113374,34.88072833,"south","south","south","south","south","south","south","south","south","south","north","north","north","north"
166,-106.7211278,34.86900687,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
165,-106.7188638,34.85472515,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
164,-106.7149975,34.84046314,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
163,-106.7152787,34.82602255,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
162,-106.7124538,34.81180331,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
161,-106.7181789,34.80459077,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
161,-106.7210958,34.79962299,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
160,-106.7260759,34.78690209,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
159,-106.7323025,34.77396705,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
158,-106.7356575,34.76070194,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
157,-106.7428951,34.74845897,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
156,-106.7419093,34.73534916,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
155,-106.7405729,34.72237445,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
154,-106.7498065,34.71101946,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
153,-106.7477532,34.69772153,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
152,-106.7426232,34.68455148,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
151,-106.7466259,34.67142267,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
150,-106.7423767,34.65887212,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
149,-106.7364355,34.64576194,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
148,-106.7449941,34.63373463,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
147,-106.7520572,34.62109197,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
146,-106.7467223,34.60742498,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
145,-106.7460169,34.59408511,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
144,-106.7591735,34.58508893,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
143,-106.7692113,34.57389213,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
142,-106.7689846,34.56049655,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
141,-106.7636449,34.54758637,"south","south","south","south","south","south","south","south","south","south","south","north","north","north"
140,-106.7704401,34.53563775,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
139,-106.7844467,34.5273747,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
138,-106.7942628,34.51753036,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
137,-106.7920191,34.50350362,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
136,-106.7974145,34.49017384,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
135,-106.8034553,34.47691237,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
134,-106.8002773,34.46352291,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
133,-106.80242,34.45064912,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
132,-106.8022864,34.43691196,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
131,-106.8000704,34.42284946,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
131,-106.7996324,34.41746167,"south","south","south","south","south","south","south","south","south","south","south","south","north","north"
130,-106.8040677,34.40898756,"south","south","south","south","south","south","south","south","south","south","south","south","south","north"
129,-106.8162769,34.39830466,"south","south","south","south","south","south","south","south","south","south","south","south","south","north"
